"Submit","Провести"
"Are you sure you want to reset all customizations?","Вы уверены, что хотите сбросить все настройки?"
"Are you sure you want to restart this subscription?","Вы уверены, что хотите перезапустить эту подписку?"
"Are you sure you want to save this document?","Вы уверены, что хотите сохранить этот документ?"
"Are you sure you want to send this newsletter now?","Вы уверены, что хотите отправить эту рассылку сейчас?"
"Are you sure?","Вы уверены?"
"Area","Площадь"
"Area UOM","Единица измерения площади"
"Arguments","Аргументы"
"Arrival Quantity","Количество поступления"
"As On Date","На дату"
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","В качестве лучшей практики не назначайте одинаковый набор правил прав доступа разным Ролям. Вместо этого установите несколько Ролей одному Пользователю."
"As document sharing is disabled, please give them the required permissions before assigning.","Так как общий доступ к документам отключен, дайте им необходимые разрешения перед назначением."
"As on Date","На дату"
"As per Stock UOM","По единице измерения склада"
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted","По вашему запросу ваша учетная запись и данные на {0}, связанные с адресом электронной почты {1}, были окончательно удалены"
"As the field {0} is enabled, the field {1} is mandatory.","Так как поле {0} включено, поле {1} является обязательным."
"As the field {0} is enabled, the value of the field {1} should be more than 1.","Так как поле {0} включено, значение поля {1} должно быть больше 1."
"As there are existing submitted transactions against item {0}, you can not change the value of {1}.","Так как существуют проведенные транзакции по номенклатуре {0}, вы не можете изменить значение {1}."
"As there are reserved stock, you cannot disable {0}.","Так как существует зарезервированный запас, вы не можете отключить {0}."
"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.","Так как достаточно Сборочных номенклатур, Производственный заказ не требуется для склада {0}."
"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.","Так как достаточно сырья, Заявка на материалы не требуется для склада {0}."
"As {0} is enabled, you can not enable {1}.","Так как {0} включено, вы не можете включить {1}."
"Assembly Items","Сборочные номенклатуры"
"Asset","Основное средство"
"Asset Account","Счет основных средств"
"Asset Activity","Активность основного средства"
"Asset Capitalization","Капитализация основного средства"
"Asset Capitalization Asset Item","Номенклатура основного средства для капитализации"
"Asset Capitalization Service Item","Услуга капитализации основного средства"
"Asset Capitalization Stock Item","Производственная номенклатура капитализации основного средства"
"Asset Category","Категория основного средства"
"Asset Category Account","Счет категории основного средства"
"Asset Category Name","Наименование категории основного средства"
"Asset Category is mandatory for Fixed Asset item","Категория основного средства обязательна для номенклатуры основного средства"
"Asset Depreciation Cost Center","Центр затрат амортизации основного средства"
"Asset Depreciation Details","Детали амортизации основного средства"
"Asset Depreciation Ledger","Реестр амортизации основного средства"
"Asset Depreciation Schedule","График амортизации основного средства"
"Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation","График амортизации основного средства для основного средства {0} и финансовой книги {1} не использует амортизацию на основе смен"
"Asset Depreciation Schedule not found for Asset {0} and Finance Book {1}","График амортизации основного средства не найден для основного средства {0} и финансовой книги {1}"
"Asset Depreciation Schedule {0} for Asset {1} already exists.","График амортизации основного средства {0} для основного средства {1} уже существует."
"Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.","График амортизации основного средства {0} для основного средства {1} и финансовой книги {2} уже существует."
"Asset Depreciation Schedules created:<br>{0}<br><br>Please check, edit if needed, and submit the Asset.","Созданы графики амортизации основного средства:<br>{0}<br><br>Пожалуйста, проверьте, отредактируйте при необходимости и проведите Основное средство."
"Asset Depreciations and Balances","Амортизация основных средств и остатки"
"Asset Details","Детали основного средства"
"Asset Finance Book","Финансовая книга основного средства"
"Asset ID","Код основного средства"
"Asset Location","Место расположения основного средства"
"Asset Maintenance","Техническое обслуживание основного средства"
"Asset Maintenance Log","Журнал техническое обслуживание основного средства"
"Asset Maintenance Task","Задача техническое обслуживание основного средства"
"Asset Maintenance Team","Команда техническое обслуживание основного средства"
"Asset Movement","Перемещение основного средства"
"Asset Movement Item","Номенклатура перемещения основного средства"
"Asset Movement record {0} created","Запись перемещения основного средства {0} создана"
"Asset Name","Наименование основного средства"
"Asset Naming Series","Серия нумерации основного средства"
"Asset Owner","Владелец основного средства"
"Asset Owner Company","Компания владельца основного средства"
"Asset Quantity","Количество основного средства"
"Asset Received But Not Billed","Основное средство получено, но не выставлено счётом"
"Asset Repair","Ремонт основного средства"
"Asset Repair Consumed Item","Номенклатура, использованная при ремонте основного средства"
"Asset Settings","Параметры основного средства"
"Asset Shift Allocation","Распределение основного средства по сменам"
"Asset Shift Factor","Коэффициент смены основного средства"
"Asset Shift Factor {0} is set as default currently. Please change it first.","Коэффициент смены основного средства {0} установлен как текущий по умолчанию. Пожалуйста, измените его сначала."
"Asset Status","Статус основного средства"
"Asset Value","Стоимость основного средства"
"Asset Value Adjustment","Корректировка стоимости основного средства"
"Asset Value Adjustment cannot be posted before Asset's purchase date <b>{0}</b>.","Корректировка стоимости основного средства не может быть проведена раньше даты приобретения основного средства <b>{0}</b>."
"Asset Value Analytics","Аналитика стоимости основного средства"
"Asset cancelled","Основное средство отменено"
"Asset cannot be cancelled, as it is already {0}","Основное средство не может быть отменено, так как оно уже {0}"
"Asset cannot be scrapped before the last depreciation entry.","Основное средство не может быть списано до последней записи амортизации."
"Asset capitalized after Asset Capitalization {0} was submitted","Основное средство капитализировано после проведения капитализации основного средства {0}"
"Asset created","Основное средство создано"
"Asset created after Asset Capitalization {0} was submitted","Основное средство создано после проведения капитализации основного средства {0}"
"Asset created after being split from Asset {0}","Основное средство создано в результате разделения основного средства {0}"
"Asset deleted","Основное средство удалено"
"Asset issued to Employee {0}","Основное средство выдано сотруднику {0}"
"Asset out of order due to Asset Repair {0}","Основное средство вышло из строя в результате ремонта основного средства {0}"
"Asset received at Location {0} and issued to Employee {1}","Основное средство получено в месте расположения {0} и выдано сотруднику {1}"
"Asset restored","Основное средство восстановлено"
"Asset restored after Asset Capitalization {0} was cancelled","Основное средство восстановлено после отмены капитализации основного средства {0}"
"Asset returned","Основное средство возвращено"
"Asset scrapped","Основное средство списано"
"Asset scrapped via Journal Entry {0}","Основное средство списано через Журнал проводок {0}"
"Asset sold","Основное средство продано"
"Asset submitted","Основное средство проведено"
"Asset transferred to Location {0}","Основное средство передано в место расположения {0}"
"Asset updated after being split into Asset {0}","Основное средство обновлено после разделения на Основное средство {0}"
"Asset updated after cancellation of Asset Repair {0}","Основное средство обновлено после отмены Ремонта основного средства {0}"
"Asset updated after completion of Asset Repair {0}","Основное средство обновлено после завершения Ремонта основного средства {0}"
"Asset {0} cannot be scrapped, as it is already {1}","Основное средство {0} не может быть списано, так как оно уже {1}"
"Asset {0} does not belong to Item {1}","Основное средство {0} не принадлежит Номенклатуре {1}"
"Asset {0} does not belong to company {1}","Основное средство {0} не принадлежит компании {1}"
"Asset {0} does not belong to the custodian {1}","Основное средство {0} не принадлежит материально ответственному лицу {1}"
"Asset {0} does not belong to the location {1}","Основное средство {0} не принадлежит месту расположения {1}"
"Asset {0} does not exist","Основное средство {0} не существует"
"Asset {0} has been created. Please set the depreciation details if any and submit it.","Основное средство {0} создано. Пожалуйста, установите детали амортизации, если требуется, и проведите его."
"Asset {0} has been updated. Please set the depreciation details if any and submit it.","Основное средство {0} обновлено. Пожалуйста, установите детали амортизации, если требуется, и проведите его."
"Asset {0} is in {1} status and cannot be repaired.","Основное средство {0} имеет статус {1} и не может быть отремонтировано."
"Asset {0} is not set to calculate depreciation.","Основное средство {0} не установлено для расчета амортизации."
"Asset {0} is not submitted. Please submit the asset before proceeding.","Основное средство {0} не проведено. Пожалуйста, проведите основное средство перед продолжением."
"Asset {0} must be submitted","Основное средство {0} должно быть проведено"
"Asset's depreciation schedule updated after Asset Shift Allocation {0}","График амортизации основного средства обновлен после Распределения смены основного средства {0}"
"Asset's value adjusted after cancellation of Asset Value Adjustment {0}","Стоимость основного средства скорректирована после отмены Корректировки стоимости основного средства {0}"
"Asset's value adjusted after submission of Asset Value Adjustment {0}","Стоимость основного средства скорректирована после проведения Корректировки стоимости основного средства {0}"
"Assets","Основные средства"
"Assets not created for {0}. You will have to create asset manually.","Основные средства не созданы для {0}. Вам придется создать основное средство вручную."
"Asset{is_plural} {assets_link} created for {item_code}","Основное средство{is_plural} {assets_link} создано для {item_code}"
"Assign Condition","Назначить состояние"
"Assign Job to Employee","Назначить работу сотруднику"
"Assign To User Group","Назначить группе пользователей"
"Assign To Users","Назначить пользователям"
"Assign a user","Назначить пользователя"
"Assign one by one, in sequence","Назначать по одному в последовательности"
"Assign to Name","Назначить в поле"
"Assign to me","Назначить мне"
"Assign to the one who has the least assignments","Назначить тому, у кого наименьше назначений"
"Assign to the user set in this field","Назначить пользователю, установленному в этом поле"
"Assigned","Назначено"
"Assigned By","Назначено"
"Assigned By Full Name","Полное имя того, кто назначил"
"Assigned To","Назначено"
"Assigned To/Owner","Назначено/Владелец"
"Assigning...","Назначение..."
"Assignment","Назначение"
"Assignment Completed","Назначение завершено"
"Assignment Conditions","Условия назначения"
"Assignment Days","Дни назначения"
"Assignment Rule","Правило назначения"
"Assignment Rule Day","День правила назначения"
"Assignment Rule User","Пользователь правила назначения"
"Assignment Rule is not allowed on document type {0}","Правило назначения не допускается для типа документа {0}"
"Assignment Rules","Правила назначения"
"Assignment Update on {0}","Обновление назначения на {0}"
"Assignment for {0} {1}","Назначение для {0} {1}"
"Assignment of {0} removed by {1}","Назначение {0} удалено пользователем {1}"
"Assignments","Назначения"
"At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} for the batch {4} in the warehouse {5}. Please restock the item.","В строке #{0}: подобранное количество {1} для номенклатуры {2} больше, чем доступный остаток {3} для партии {4} на складе {5}. Пожалуйста, пополните запас номенклатуры."
"At Row #{0}: The picked quantity {1} for the item {2} is greater than available stock {3} in the warehouse {4}.","В строке #{0}: подобранное количество {1} для номенклатуры {2} больше, чем доступный остаток {3} на складе {4}."
"At least one account with exchange gain or loss is required","Требуется хотя бы один счёт с курсовой разницей"
"At least one column is required to show in the grid.","Требуется хотя бы один столбец для отображения в сетке"
"At least one mode of payment is required for POS invoice.","Требуется хотя бы один способ оплаты для ПОС-счёта"
"At least one of the Applicable Modules should be selected","Должен быть выбран хотя бы один применимый модуль"
"At least one raw material item must be present in the stock entry for the type {0}","В записи движения материалов для типа {0} должна присутствовать хотя бы одна сырьевая номенклатура"
"At row #{0}: the Difference Account must not be a Stock type account, please change the Account Type for the account {1} or select a different account","В строке #{0}: счёт разницы не должен быть счётом типа «Запасы», измените тип счёта для счёта {1} или выберите другой счёт"
"At row #{0}: the sequence id {1} cannot be less than previous row sequence id {2}","В строке #{0}: идентификатор последовательности {1} не может быть меньше идентификатора последовательности предыдущей строки {2}"
"At row #{0}: you have selected the Difference Account {1}, which is a Cost of Goods Sold type account. Please select a different account","В строке #{0}: вы выбрали счёт разницы {1}, который является счётом типа «Себестоимость реализованной продукции». Пожалуйста, выберите другой счёт"
"At row {0}: Batch No is mandatory for Item {1}","В строке {0}: номер партии обязателен для номенклатуры {1}"
"At row {0}: Parent Row No cannot be set for item {1}","В строке {0}: номер родительской строки не может быть установлен для номенклатуры {1}"
"At row {0}: Qty is mandatory for the batch {1}","В строке {0}: количество обязательно для партии {1}"
"At row {0}: Serial No is mandatory for Item {1}","В строке {0}: серийный номер обязателен для номенклатуры {1}"
"At row {0}: Serial and Batch Bundle {1} has already created. Please remove the values from the serial no or batch no fields.","В строке {0}: пакет серийного номера и партии {1} уже создан. Пожалуйста, удалите значения из полей серийного номера или номера партии"
"At row {0}: set Parent Row No for item {1}","В строке {0}: установите номер родительской строки для номенклатуры {1}"
"Atleast one asset has to be selected.","Должен быть выбран хотя бы один актив"
"Atleast one field is required in Web Form Fields Table","В таблице полей веб-формы требуется хотя бы одно поле"
"Atleast one field of Parent Document Type is mandatory","Требуется хотя бы одно поле родительского типа документа"
"Atleast one invoice has to be selected.","Должен быть выбран хотя бы один счёт-фактура"
"Atleast one item should be entered with negative quantity in return document","В возвратном документе должна быть введена хотя бы одна номенклатура с отрицательным количеством"
"Atleast one of the Selling or Buying must be selected","Должна быть выбрана хотя бы одна из опций: Продажа или Покупка"
"Atleast one warehouse is mandatory","Требуется хотя бы один склад"
"Attach .csv file with two columns, one for the old name and one for the new name","Прикрепите файл .csv с двумя столбцами: один для старого названия и один для нового"
"Attach CSV File","Прикрепить CSV-файл"
"Attach Document Print","Прикрепить печать документа"
"Attach Files","Прикрепить файлы"
"Attach Image","Прикрепить изображение"
"Attach Package","Прикрепить пакет"
"Attach Print","Прикрепить печать"
"Attach a web link","Прикрепить веб-ссылку"
"Attach custom Chart of Accounts file","Прикрепить пользовательский файл плана счётов"
"Attach files / urls and add in table.","Прикрепить файлы / URL и добавить в таблицу."
"Attached File","Прикреплённый файл"
"Attached To DocType","Прикреплено к типу документа"
"Attached To Field","Прикреплено к полю"
"Attached To Name","Прикреплено к имени"
"Attached To Name must be a string or an integer","Поле «Прикреплено к имени» должно быть строкой или целым числом"
"Attachment","Приложение"
"Attachment Limit (MB)","Лимит приложения (МБ)"
"Attachment Limit Reached","Лимит приложений достигнут"
"Attachment Link","Ссылка приложения"
"Attachment Not Found","Приложение не найдено"
"Attachment Removed","Приложение удалено"
"Attachment Settings","Параметры приложений"
"Attachments","Приложения"
"Attempting Connection to QZ Tray...","Попытка подключения к QZ Tray..."
"Attempting to launch QZ Tray...","Попытка запуска QZ Tray..."
"Attendance & Leaves","Посещаемость и отпуска"
"Attendance Device ID (Biometric/RF tag ID)","Идентификатор устройства учёта (ID биометрии/RFID-метки)"
"Attendee not found in this event.","Участник не найден в этом событии."
"Attending","Присутствует"
"Attribute","Атрибут"
"Attribute Name","Наименование атрибута"
"Attribute Value","Значение атрибута"
"Attribute Value {0} is not valid for the selected attribute {1}.","Значение атрибута {0} недействительно для выбранного атрибута {1}."
"Attribute table is mandatory","Таблица атрибутов обязательна"
"Attribute value: {0} must appear only once","Значение атрибута: {0} должно появиться только один раз"
"Attribute {0} is disabled.","Атрибут {0} отключен."
"Attribute {0} is not valid for the selected template.","Атрибут {0} недействителен для выбранного шаблона."
"Attribute {0} selected multiple times in Attributes Table","Атрибут {0} выбран несколько раз в таблице атрибутов"
"Attributes","Атрибуты"
"Audience","Аудитория"
"Audit System Hooks","Аудит системных перехватчиков"
"Audit Trail","Журнал аудита"
"Auditor","Аудитор"
"Auth URL Data","Данные URL аутентификации"
"Auth URL data should be valid JSON","Данные URL аутентификации должны быть корректным JSON"
"Authenticate as Service Principal","Аутентификация как субъект-служба"
"Authentication","Аутентификация"
"Authentication Apps you can use are:","Приложения аутентификации, которые вы можете использовать:"
"Authentication Failed","Ошибка аутентификации"
"Authentication failed while receiving emails from Email Account: {0}.","Ошибка аутентификации при получении писем из учётной записи электронной почты: {0}."
"Author","Автор"
"Authorised By","Утверждено"
"Authorization Code","Код авторизации"
"Authorization Control","Контроль авторизации"
"Authorization Rule","Правило авторизации"
"Authorization URI","URI авторизации"
"Authorization error for {}.","Ошибка авторизации для {}."
"Authorize API Access","Авторизовать доступ API"
"Authorize API Indexing  Access","Авторизовать доступ индексирования API"
"Authorize Google Calendar Access","Авторизовать доступ Google Calendar"
"Authorize Google Contacts Access","Авторизовать доступ Google Contacts"
"Authorize Google Drive Access","Авторизовать доступ Google Drive"
"Authorize URL","URL авторизации"
"Authorized","Авторизовано"
"Authorized Signatory","Уполномоченное лицо"
"Authorized Value","Авторизованное значение"
"Auto","Автоматически"
"Auto Create Assets on Purchase","Автоматически создавать основные средства при покупке"
"Auto Create Exchange Rate Revaluation","Автоматически создавать переоценку валютного курса"
"Auto Create Purchase Receipt","Автоматически создавать приходную накладную"
"Auto Create Serial and Batch Bundle For Outward","Автоматически создавать серийный и пакетный номер для отпуска"
"Auto Create Subcontracting Order","Автоматически создавать заказ на субподряд"
"Auto Created","Создано автоматически"
"Auto Created Serial and Batch Bundle","Серийный и пакетный номер, созданные автоматически"
"Auto Creation of Contact","Автоматическое создание контакта"
"Auto Email Report","Автоматическая отправка отчёта"
"Auto Fetch","Автоматическая выборка"
"Auto Fetch Serial Numbers","Автоматическая выборка серийных номеров"
"Auto Insert Item Price If Missing","Автоматически вставлять цену номенклатуры при отсутствии"
"Auto Material Request","Автоматический запрос материалов"
"Auto Material Requests Generated","Автоматически созданные запросы материалов"
"Auto Name","Автоматическое имя"
"Auto Opt In (For all customers)","Автоматическое согласие (для всех покупателей)"
"Auto Reconcile","Автоматическое выверение"
"Auto Reconcile Payments","Автоматическое выверение платежей"
"Auto Reconciliation","Автоматическое выверение"
"Auto Reconciliation Job Trigger","Триггер задания автоматического выверения"
"Auto Reconciliation has started in the background","Автоматическое выверение начато в фоновом режиме"
"Auto Reconciliation of Payments has been disabled. Enable it through {0}","Автоматическое выверение платежей отключено. Включите через {0}"
"Auto Repeat","Автоматическое повторение"
"Auto Repeat Day","День автоматического повторения"
"Auto Repeat Day{0} {1} has been repeated.","Автоматическое повторение День{0} {1} повторено"
"Auto Repeat Detail","Деталь автоматического повторения"
"Auto Repeat Document Creation Failed","Ошибка создания документа автоматического повторения"
"Auto Repeat Schedule","График автоматического повторения"
"Auto Repeat created for this document","Автоматическое повторение создано для этого документа"
"Auto Repeat failed for {0}","Ошибка автоматического повторения для {0}"
"Auto Reply","Автоответ"
"Auto Reply Message","Сообщение автоответа"
"Auto Reserve Serial and Batch Nos","Автоматическое резервирование серийных номеров и партий"
"Auto Reserve Stock for Sales Order on Purchase","Автоматическое резервирование запасов для заказа покупателя при покупке"
"Auto Tax Settings Error","Ошибка параметров автоматического налога"
"Auto assignment failed: {0}","Ошибка автоматического назначения: {0}"
"Auto close Opportunity Replied after the no. of days mentioned above","Автоматически закрывать возможность после указанного количества дней ответа"
"Auto follow documents that are assigned to you","Автоматически отслеживать документы, назначенные вам"
"Auto follow documents that are shared with you","Автоматически отслеживать документы, которые поделены с вами"
"Auto follow documents that you Like","Автоматически отслеживать документы, которым вы поставили нравится"
"Auto follow documents that you comment on","Автоматически отслеживать документы, на которые вы комментируете"
"Auto follow documents that you create","Автоматически отслеживать документы, которые вы создаёте"
"Auto match and set the Party in Bank Transactions","Автоматическое сопоставление и установка контрагента в банковских операциях"
"Auto re-order","Автоматическое переупорядочение"
"Auto repeat document updated","Документ автоматического повторения обновлён"
"Auto repeat failed. Please enable auto repeat after fixing the issues.","Ошибка автоматического повторения. Включите автоматическое повторение после устранения проблем."
"Auto write off precision loss while consolidation","Автоматическое списание убытков от точности при консолидации"
"Autocomplete","Автодополнение"
"Autoincrement","Автоинкремент"
"Automated Message","Автоматическое сообщение"
"Automatic","Автоматический"
"Automatic Linking can be activated only for one Email Account.","Автоматическое связывание можно активировать только для одной учётной записи электронной почты"
"Automatic Linking can be activated only if Incoming is enabled.","Автоматическое связывание можно активировать только если включена входящая почта"
"Automatic sending of emails is disabled via site config.","Автоматическая отправка писем отключена в конфигурации сайта"
"Automatically Add Filtered Item To Cart","Автоматически добавлять отфильтрованную номенклатуру в корзину"
"Automatically Add Taxes and Charges from Item Tax Template","Автоматически добавлять налоги и сборы из шаблона налога номенклатуры"
"Automatically Add Taxes from Taxes and Charges Template","Автоматически добавлять налоги из шаблона налогов и сборов"
"Automatically Assign Documents to Users","Автоматически назначать документы пользователям"
"Automatically Create New Batch","Автоматически создавать новую партию"
"Automatically Fetch Payment Terms from Order/Quotation","Автоматически получать условия платежа из заказа/предложения"
"Automatically Process Deferred Accounting Entry","Автоматически обрабатывать отложенные бухгалтерские записи"
"Automatically applied a filter for recent data. You can disable this behavior from the list view settings.","Автоматически применен фильтр для недавних данных. Вы можете отключить это поведение в настройках представления списка."
"Automatically delete account within (hours)","Автоматически удалять счет в течение (часов)"
"Automatically post balancing accounting entry","Автоматически проводить балансирующую бухгалтерскую запись"
"Automation","Автоматизация"
"Availability Of Slots","Доступность слотов"
"Available","Доступно"
"Available Batch Qty at From Warehouse","Доступное количество партии на складе отправления"
"Available Batch Qty at Warehouse","Доступное количество партии на складе"
"Available Batch Report","Отчет о доступных партиях"
"Available For Use Date","Дата поступления в использование"
"Available Qty","Доступное количество"
"Available Qty For Consumption","Доступное количество для потребления"
"Available Qty at Company","Доступное количество в компании"
"Available Qty at Source Warehouse","Доступное количество на исходном складе"
"Available Qty at Target Warehouse","Доступное количество на целевом складе"
"Available Qty at WIP Warehouse","Доступное количество на складе незавершенного производства"
"Available Qty at Warehouse","Доступное количество на складе"
"Available Qty to Reserve","Доступное количество для резервирования"
"Available Quantity","Доступное количество"
"Available Serial No","Доступный серийный номер"
"Available Stock","Доступный запас"
"Available Stock for Packing Items","Доступный запас для упаковочных товаров"
"Available for use date is required","Дата поступления в использование обязательна"
"Available quantity is {0}, you need {1}","Доступное количество {0}, требуется {1}"
"Available {0}","Доступно {0}"
"Available-for-use Date","Дата поступления в использование"
"Available-for-use Date should be after purchase date","Дата поступления в использование должна быть позже даты покупки"
"Avatar","Аватар"
"Average","Средний"
"Average Age","Средний возраст"
"Average Commission Rate","Средняя ставка комиссии"
"Average Completion","Среднее выполнение"
"Average Discount","Средняя скидка"
"Average Rate","Средняя ставка"
"Average Response Time","Среднее время отклика"
"Average of {0}","Среднее значение {0}"
"Average time taken by the supplier to deliver","Среднее время доставки поставщиком"
"Avg Daily Outgoing","Средний дневной отпуск"
"Avg Rate","Средняя цена"
"Avg Rate (Balance Stock)","Средняя цена (остаток на складе)"
"Avg. Buying Price List Rate","Средняя цена прайс-листа покупки"
"Avg. Selling Price List Rate","Средняя цена прайс-листа продажи"
"Avg. Selling Rate","Средняя цена продажи"
"Avoid dates and years that are associated with you.","Избегайте дат и лет, связанных с вами."
"Avoid recent years.","Избегайте недавних лет."
"Avoid sequences like abc or 6543 as they are easy to guess","Избегайте последовательностей вроде abc или 6543, так как их легко угадать"
"Avoid years that are associated with you.","Избегайте лет, связанных с вами."
"Awaiting Password","Ожидание пароля"
"Awaiting password","Ожидание пароля"
"Awesome Work","Отличная работа"
"Awesome, now try making an entry yourself","Отлично, теперь попробуйте создать запись самостоятельно"
"BIN Qty","Количество в ячейке"
"BOM 1","Спецификация 1"
"BOM 1 {0} and BOM 2 {1} should not be same","Спецификация 1 {0} и Спецификация 2 {1} не должны быть одинаковыми"
"BOM 2","Спецификация 2"
"BOM Comparison Tool","Инструмент сравнения спецификаций"
"BOM Created","Спецификация создана"
"BOM Creator","Создатель спецификации"
"BOM Creator Item","Номенклатура создателя спецификации"
"BOM Detail No","Номер строки спецификации"
"BOM Explorer","Обозреватель спецификаций"
"BOM Explosion Item","Номенклатура развёртки спецификации"
"BOM ID","Код спецификации"
"BOM Info","Информация спецификации"
"BOM Item","Строка спецификации"
"BOM Level","Уровень спецификации"
"BOM No","Номер спецификации"
"BOM No. for a Finished Good Item","Номер спецификации для номенклатуры готового изделия"
"BOM Operation","Операция спецификации"
"BOM Operations Time","Время операций спецификации"
"BOM Qty","Количество по спецификации"
"BOM Rate","Цена по спецификации"
"BOM Scrap Item","Номенклатура отходов спецификации"
"BOM Search","Поиск спецификации"
"BOM Stock Calculated","Рассчитанный запас по спецификации"
"BOM Stock Report","Отчёт по наличию спецификаций"
"BOM Tree","Дерево спецификации"
"BOM UoM","Единица измерения спецификации"
"BOM Update Batch","Пакет обновления спецификаций"
"BOM Update Initiated","Обновление спецификации инициировано"
"BOM Update Log","Журнал обновления спецификаций"
"BOM Update Tool","Инструмент обновления спецификаций"
"BOM Update Tool Log with job status maintained","Журнал инструмента обновления спецификаций со статусом задания"
"BOM Updation already in progress. Please wait until {0} is complete.","Обновление спецификации уже выполняется. Дождитесь завершения {0}."
"BOM Updation is queued and may take a few minutes. Check {0} for progress.","Обновление спецификации добавлено в очередь и может занять несколько минут. Проверьте {0} для отслеживания прогресса."
"BOM Variance Report","Отчёт по отклонениям спецификации"
"BOM Website Item","Номенклатура спецификации сайта"
"BOM Website Operation","Операция спецификации сайта"
"BOM and Finished Good Quantity is mandatory for Disassembly","Спецификация и количество готового продукта обязательны для разборки"
"BOM and Manufacturing Quantity are required","Спецификация и количество производства требуются"
"BOM and Production","Спецификация и производство"
"BOM does not contain any stock item","Спецификация не содержит товаров в наличии"
"BOM recursion: {0} cannot be child of {1}","Циклическая ссылка в спецификации: {0} не может быть дочерней номенклатурой для {1}"
